RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544859874352	 	3.0.1
REQUEST	14		random	1544859876100	1544859876298	OK	 
USER	XhinLiang random api	148	START	1544859876300	1544859876300
USER	XhinLiang random api	147	START	1544859876300	1544859876300
REQUEST	37		random	1544859876183	1544859876293	OK	 
REQUEST	32		random	1544859876176	1544859876306	OK	 
REQUEST	45		random	1544859876188	1544859876308	OK	 
REQUEST	63		random	1544859876215	1544859876302	OK	 
USER	XhinLiang random api	152	START	1544859876312	1544859876312
USER	XhinLiang random api	153	START	1544859876312	1544859876312
USER	XhinLiang random api	156	START	1544859876313	1544859876313
USER	XhinLiang random api	154	START	1544859876313	1544859876313
USER	XhinLiang random api	157	START	1544859876313	1544859876313
USER	XhinLiang random api	158	START	1544859876314	1544859876314
USER	XhinLiang random api	155	START	1544859876313	1544859876313
USER	XhinLiang random api	150	START	1544859876311	1544859876311
USER	XhinLiang random api	151	START	1544859876314	1544859876314
REQUEST	40		random	1544859876186	1544859876309	OK	 
USER	XhinLiang random api	149	START	1544859876315	1544859876315
USER	XhinLiang random api	159	START	1544859876320	1544859876320
USER	XhinLiang random api	163	START	1544859876321	1544859876321
USER	XhinLiang random api	162	START	1544859876321	1544859876321
USER	XhinLiang random api	165	START	1544859876322	1544859876322
USER	XhinLiang random api	166	START	1544859876322	1544859876322
USER	XhinLiang random api	161	START	1544859876320	1544859876320
USER	XhinLiang random api	167	START	1544859876323	1544859876323
USER	XhinLiang random api	168	START	1544859876323	1544859876323
USER	XhinLiang random api	164	START	1544859876322	1544859876322
USER	XhinLiang random api	160	START	1544859876323	1544859876323
REQUEST	48		random	1544859876191	1544859876327	OK	 
REQUEST	53		random	1544859876199	1544859876324	OK	 
REQUEST	61		random	1544859876215	1544859876331	OK	 
USER	XhinLiang random api	171	START	1544859876331	1544859876331
USER	XhinLiang random api	173	START	1544859876332	1544859876332
USER	XhinLiang random api	174	START	1544859876332	1544859876332
USER	XhinLiang random api	170	START	1544859876330	1544859876330
USER	XhinLiang random api	175	START	1544859876333	1544859876333
USER	XhinLiang random api	176	START	1544859876332	1544859876332
USER	XhinLiang random api	178	START	1544859876333	1544859876333
USER	XhinLiang random api	172	START	1544859876332	1544859876332
USER	XhinLiang random api	169	START	1544859876330	1544859876330
USER	XhinLiang random api	181	START	1544859876340	1544859876340
USER	XhinLiang random api	182	START	1544859876340	1544859876340
USER	XhinLiang random api	184	START	1544859876340	1544859876340
USER	XhinLiang random api	180	START	1544859876340	1544859876340
USER	XhinLiang random api	185	START	1544859876340	1544859876340
USER	XhinLiang random api	190	START	1544859876351	1544859876351
REQUEST	64		random	1544859876214	1544859876357	OK	 
USER	XhinLiang random api	177	START	1544859876332	1544859876332
USER	XhinLiang random api	179	START	1544859876340	1544859876340
USER	XhinLiang random api	192	START	1544859876356	1544859876356
REQUEST	72		random	1544859876217	1544859876362	OK	 
USER	XhinLiang random api	191	START	1544859876352	1544859876352
USER	XhinLiang random api	183	START	1544859876340	1544859876340
USER	XhinLiang random api	189	START	1544859876351	1544859876351
USER	XhinLiang random api	186	START	1544859876341	1544859876341
REQUEST	80		random	1544859876224	1544859876372	OK	 
USER	XhinLiang random api	188	START	1544859876343	1544859876343
USER	XhinLiang random api	193	START	1544859876357	1544859876357
USER	XhinLiang random api	187	START	1544859876342	1544859876342
USER	XhinLiang random api	195	START	1544859876362	1544859876362
USER	XhinLiang random api	197	START	1544859876367	1544859876367
USER	XhinLiang random api	201	START	1544859876375	1544859876375
USER	XhinLiang random api	199	START	1544859876372	1544859876372
USER	XhinLiang random api	196	START	1544859876364	1544859876364
USER	XhinLiang random api	198	START	1544859876369	1544859876369
USER	XhinLiang random api	200	START	1544859876373	1544859876373
USER	XhinLiang random api	207	START	1544859876380	1544859876380
USER	XhinLiang random api	194	START	1544859876361	1544859876361
USER	XhinLiang random api	202	START	1544859876380	1544859876380
USER	XhinLiang random api	208	START	1544859876381	1544859876381
USER	XhinLiang random api	206	START	1544859876380	1544859876380
USER	XhinLiang random api	205	START	1544859876380	1544859876380
REQUEST	35		random	1544859876180	1544859876374	OK	 
REQUEST	34		random	1544859876179	1544859876380	OK	 
REQUEST	42		random	1544859876186	1544859876385	OK	 
REQUEST	43		random	1544859876187	1544859876385	OK	 
USER	XhinLiang random api	204	START	1544859876381	1544859876381
REQUEST	51		random	1544859876193	1544859876387	OK	 
USER	XhinLiang random api	203	START	1544859876381	1544859876381
REQUEST	59		random	1544859876210	1544859876389	OK	 
REQUEST	44		random	1544859876195	1544859876389	OK	 
REQUEST	88		random	1544859876228	1544859876390	OK	 
REQUEST	50		random	1544859876192	1544859876394	OK	 
REQUEST	96		random	1544859876234	1544859876393	OK	 
REQUEST	112		random	1544859876258	1544859876409	OK	 
REQUEST	58		random	1544859876209	1544859876398	OK	 
USER	XhinLiang random api	210	START	1544859876389	1544859876389
REQUEST	60		random	1544859876210	1544859876394	OK	 
USER	XhinLiang random api	213	START	1544859876389	1544859876389
USER	XhinLiang random api	211	START	1544859876389	1544859876389
USER	XhinLiang random api	212	START	1544859876389	1544859876389
USER	XhinLiang random api	209	START	1544859876389	1544859876389
USER	XhinLiang random api	216	START	1544859876391	1544859876391
USER	XhinLiang random api	222	START	1544859876413	1544859876413
